path,bytes,sha256,model_family,dataset_hint,artifact_role,source_url,google_drive_id,source_project,license,redistribution_status,notes
checkpoints/dualformer/dualformer_tiny_patch244_window877.pth,101764429,f27c1c1996e4d27bc5c71f2bf3f690d933d8ea378030fb9e9e93c816872deb46,dualformer,kinetics400,model-checkpoint,,1dvG6vjC7udHTwTaqmOAfn6U3HNs3T-QF,https://github.com/sail-sg/dualformer,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/DualFormer/README.md:51; checkpoint-specific license unresolved
checkpoints/focalnet/video-focalnet_base_kinetics400.pth,629790601,5ccba3459e69dc975e893a06513a5dc26d5e7617b3819bac7b66d2fa314be711,focalnet,kinetics400,model-checkpoint,,1tc1AKKmvHN7Hzxpd53QsBIMQZmLH8ozX,https://github.com/TalalWasim/Video-FocalNets,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/Video-FocalNets/README.md:102; checkpoint-specific license unresolved
checkpoints/focalnet/video-focalnet_base_ssv2.pth,628860159,187e4e9469de75ae36252d07418d9802dde16fc3a7beb9815ec949eff25dd9d6,focalnet,ssv2,model-checkpoint,,1MIPLjMVDmYEY5jmJs8pRRIj4gKNVqETg,https://github.com/TalalWasim/Video-FocalNets,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/Video-FocalNets/README.md:114; checkpoint-specific license unresolved
checkpoints/focalnet/video-focalnet_small_kinetics400.pth,355174831,5031b6372b6a91b7a0be4762bc58c8d47318896a91a3f4fe0a9730d28cef4bd2,focalnet,kinetics400,model-checkpoint,,1gO4_tluuoR4mn2bSQRNyy9_wFCnUSiQ0,https://github.com/TalalWasim/Video-FocalNets,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/Video-FocalNets/README.md:101; checkpoint-specific license unresolved
checkpoints/focalnet/video-focalnet_tiny_kinetics400.pth,198333209,86fb70adbd28e0fc8c9ca8c7ed36d52482a0c58507ad15820c8849bfb634b9ed,focalnet,kinetics400,model-checkpoint,,1wsUjJbPVQd7pf-OocD9mVU8pak0gdBTP,https://github.com/TalalWasim/Video-FocalNets,,unverified-do-not-redistribute,Official model-zoo classifier at third_party/Video-FocalNets/README.md:100; checkpoint-specific license unresolved
checkpoints/mvit/MVIT_B_24_32x3.pyth,637806132,3aa6523906feda027db6048267a254371f00205af494eb933d1f527f56c08f26,mvit,kinetics400,model-checkpoint,,,https://github.com/facebookresearch/SlowFast,,unverified-do-not-redistribute,Exact local filename and bytes are not established by vendored provenance; do not redistribute
checkpoints/mvit/MVIT_B_32x3_f294077834.pyth,439671342,ee62dd4c41f4cf0622a690c55bb3fea5c5685443cf0b4cb444327961047e5064,mvit,kinetics400,model-checkpoint,https://dl.fbaipublicfiles.com/pytorchvideo/model_zoo/kinetics/MVIT_B_32x3_f294077834.pyth,,https://github.com/facebookresearch/pytorchvideo,,unverified-do-not-redistribute,Exact URL and filename from official installed PyTorchVideo checkpoint_paths; checkpoint-specific license unresolved
checkpoints/mvit/MViTv2_B_32x3_k400_f304025456.pyth,615327794,b73e8a96c38ec34e0a7ca9a222d18da8e2617b72f915e282289b3fd9996f760f,mvit,kinetics400,model-checkpoint,,,,,unverified-do-not-redistribute,
checkpoints/mvit/MViTv2_L_40x3_k400_f306903192.pyth,2561740850,4072b484dba79bafeae63cb48bb77d0f557d336c4b34fc6e4e69014cd537c3b8,mvit,kinetics400,model-checkpoint,,,,,unverified-do-not-redistribute,
checkpoints/mvit/MViTv2_S_16x4_k400_f302660347.pyth,414835762,9a8b1563d2523c8291df5762cfc3214f77fe23b55ad2da684ace4557c5ebd4a0,mvit,kinetics400,model-checkpoint,,,,,unverified-do-not-redistribute,
