model,dataset,top1_published_pct,params_m,gflops,net_score,selected_stage2,venue,value_scope
UniFormer-B,Kinetics-400,83,50.3,259,35.61,true,ICLR 2022,published_literature_configuration
UniFormer-S,Kinetics-400,80.8,22,42,46.64,true,ICLR 2022,published_literature_configuration
"MViT-B, 64x3",Kinetics-400,81.2,36.6,455,34.17,false,ICCV 2021,published_literature_configuration
"MViT-B-24, 32x3",Kinetics-400,81.2,52.9,236,35.42,true,ICCV 2021,published_literature_configuration
"MViT-B, 32x3",Kinetics-400,80.2,36.6,170,38.23,true,ICCV 2021,published_literature_configuration
MViT-S,Kinetics-400,76,26.1,32.9,45.89,false,ICCV 2021,published_literature_configuration
VideoSwin-T,Kinetics-400,78.8,28.2,88,41.91,true,CVPR 2022,published_literature_configuration
VideoSwin-S,Kinetics-400,80.6,49.8,166,37.08,true,CVPR 2022,published_literature_configuration
VideoSwin-B,Kinetics-400,80.6,88,282,32.31,true,CVPR 2022,published_literature_configuration
VideoSwin-L,Kinetics-400,83.1,197,604,26.03,false,CVPR 2022,published_literature_configuration
ViViT-S,Kinetics-400,78.5,31.8,55,43.37,true,ICCV 2021,published_literature_configuration
ViViT-B,Kinetics-400,80,87.9,455.2,30.10,false,ICCV 2021,published_literature_configuration
ViViT-L,Kinetics-400,80.6,310.8,1446,19.73,false,ICCV 2021,published_literature_configuration
ViViT-L (320),Kinetics-400,81.3,310.8,3992,15.47,false,ICCV 2021,published_literature_configuration
ViViT-H,Kinetics-400,84.9,647.5,3981,13.04,false,ICCV 2021,published_literature_configuration
TimeSformer-B,Kinetics-400,78,121.4,196,31.92,true,ICML 2021,published_literature_configuration
TimeSformer-HR,Kinetics-400,79.7,121.4,1703,22.90,false,ICML 2021,published_literature_configuration
TimeSformer-L,Kinetics-400,80.7,121.4,2380,21.67,false,ICML 2021,published_literature_configuration
ZeroI2V ViT-B/16,Kinetics-400,83,86,422,31.17,false,arXiv 2023,published_literature_configuration
ZeroI2V ViT-L/14,Kinetics-400,86.3,304,1946,19.72,false,arXiv 2023,published_literature_configuration
Video-FocalNet-T,Kinetics-400,79.8,28,63,43.62,true,CVPR 2022,published_literature_configuration
Video-FocalNet-S,Kinetics-400,81.4,49,124,38.59,true,CVPR 2022,published_literature_configuration
Video-FocalNet-B,Kinetics-400,83.6,88,149,35.71,true,CVPR 2022,published_literature_configuration
DualFormer-T,Kinetics-400,79.5,21.8,240,38.83,true,NeurIPS 2021,published_literature_configuration
DualFormer-S,Kinetics-400,82.9,65,1000,28.61,false,NeurIPS 2021,published_literature_configuration
DualFormer-B,Kinetics-400,82.9,65,1000,28.61,false,NeurIPS 2021,published_literature_configuration
Omnivore-B,Kinetics-400,84,88,282,33.02,true,CVPR 2022,published_literature_configuration
ActionCLIP-B,Kinetics-400,83.8,141.7,560,27.93,false,arXiv 2021,published_literature_configuration
BIKE-B,Kinetics-400,83.5,230,830,24.06,false,CVPR 2023,published_literature_configuration
VATT-L,Kinetics-400,82.1,306,2980,16.97,false,NeurIPS 2021,published_literature_configuration
VideoMAE-B,Kinetics-400,80.9,86.2,180,34.41,true,NeurIPS 2022,published_literature_configuration
SVT-B,Kinetics-400,78.1,86,180,33.81,true,CVPR 2022,published_literature_configuration
VTN-B,Kinetics-400,78.6,114,218,31.86,true,ICCV 2021,published_literature_configuration
Motionformer-B,Kinetics-400,79.7,109.1,369.5,30.00,false,NeurIPS 2021,published_literature_configuration
TokenLearner-L,Kinetics-400,85.4,450,4076,14.62,false,NeurIPS 2021,published_literature_configuration
Efficient-VDiT,Kinetics-400,75.3,36.5,25.96,45.31,false,CVPR 2024,published_literature_configuration
