ClipIndex,RelativePath,Label,Dataset,Seed,DecodedFrames,Resolution
0,side kick/0jD38s-_XXA.mp4,side kick,k400,0,32,224x224
1,playing harp/XZ4TXa4UWb0.mp4,playing harp,k400,0,32,224x224
2,setting table/iIiNA95QWXY.mp4,setting table,k400,0,32,224x224
3,folding clothes/gFyntktO8p0.mp4,folding clothes,k400,0,32,224x224
4,somersaulting/3cSB60I9K6Y.mp4,somersaulting,k400,0,32,224x224
5,washing dishes/xks8SjXSW-M.mp4,washing dishes,k400,0,32,224x224
6,bungee jumping/zt6a5C_m0PQ.mp4,bungee jumping,k400,0,32,224x224
7,flipping pancake/JknRHxe8PMs.mp4,flipping pancake,k400,0,32,224x224
8,eating doughnuts/GXcgP-XFg6k.mp4,eating doughnuts,k400,0,32,224x224
9,swinging legs/i0n5CTTDaO4.mp4,swinging legs,k400,0,32,224x224
10,sled dog racing/jGCN3P8J584.mp4,sled dog racing,k400,0,32,224x224
11,mopping floor/wRvXGahbfzs.mp4,mopping floor,k400,0,32,224x224
12,bouncing on trampoline/83yKtBN2-fg.mp4,bouncing on trampoline,k400,0,32,224x224
13,climbing tree/aJJmEir_Ipk.mp4,climbing tree,k400,0,32,224x224
14,punching bag/FoDEAHzmkpM.mp4,punching bag,k400,0,32,224x224
15,arm wrestling/VOJxu3gsGgg.mp4,arm wrestling,k400,0,32,224x224
16,barbequing/L5rL7EJSbHw.mp4,barbequing,k400,0,32,224x224
17,eating ice cream/_LMykjP85Uc.mp4,eating ice cream,k400,0,32,224x224
18,biking through snow/2ntnetxjdj8.mp4,biking through snow,k400,0,32,224x224
19,playing recorder/KHVqcXbDArY.mp4,playing recorder,k400,0,32,224x224
20,building shed/-QFgr_vuykY.mp4,building shed,k400,0,32,224x224
21,recording music/jfnZ6Zaqp4Y.mp4,recording music,k400,0,32,224x224
22,capoeira/aL1h6vGkRaA.mp4,capoeira,k400,0,32,224x224
23,riding scooter/AfmlzNQj4_k.mp4,riding scooter,k400,0,32,224x224
