ClipIndex,RelativePath,Label,Dataset,Seed,DecodedFrames,Resolution
0,211653.webm,,ssv2,0,32,224x224
1,122492.webm,,ssv2,0,32,224x224
2,176020.webm,,ssv2,0,32,224x224
3,171849.webm,,ssv2,0,32,224x224
4,213667.webm,,ssv2,0,32,224x224
5,220420.webm,,ssv2,0,32,224x224
6,136128.webm,,ssv2,0,32,224x224
7,193451.webm,,ssv2,0,32,224x224
8,65006.webm,,ssv2,0,32,224x224
9,137203.webm,,ssv2,0,32,224x224
10,177191.webm,,ssv2,0,32,224x224
11,166241.webm,,ssv2,0,32,224x224
12,180526.webm,,ssv2,0,32,224x224
13,179309.webm,,ssv2,0,32,224x224
14,159276.webm,,ssv2,0,32,224x224
15,114212.webm,,ssv2,0,32,224x224
16,195588.webm,,ssv2,0,32,224x224
17,99735.webm,,ssv2,0,32,224x224
18,211992.webm,,ssv2,0,32,224x224
19,162007.webm,,ssv2,0,32,224x224
20,64907.webm,,ssv2,0,32,224x224
21,217226.webm,,ssv2,0,32,224x224
22,8845.webm,,ssv2,0,32,224x224
23,109964.webm,,ssv2,0,32,224x224
24,170880.webm,,ssv2,0,32,224x224
25,145187.webm,,ssv2,0,32,224x224
26,29783.webm,,ssv2,0,32,224x224
27,82524.webm,,ssv2,0,32,224x224
28,106444.webm,,ssv2,0,32,224x224
29,20087.webm,,ssv2,0,32,224x224
30,119103.webm,,ssv2,0,32,224x224
31,157922.webm,,ssv2,0,32,224x224
32,41267.webm,,ssv2,0,32,224x224
33,77738.webm,,ssv2,0,32,224x224
34,218487.webm,,ssv2,0,32,224x224
35,23995.webm,,ssv2,0,32,224x224
36,219411.webm,,ssv2,0,32,224x224
37,148325.webm,,ssv2,0,32,224x224
38,24984.webm,,ssv2,0,32,224x224
39,104910.webm,,ssv2,0,32,224x224
40,168990.webm,,ssv2,0,32,224x224
41,208685.webm,,ssv2,0,32,224x224
42,164131.webm,,ssv2,0,32,224x224
43,51531.webm,,ssv2,0,32,224x224
44,71769.webm,,ssv2,0,32,224x224
45,116144.webm,,ssv2,0,32,224x224
