model,display_name,file,exists,opens,structure,head_evidence,classes,source,source_repo,source_commit,sha256,status,reason
uniformer-s,UniFormer-S,checkpoints/uniformer/uniformer_small_k400_16x4.pth,True,True,OrderedDict,"root:head.weight=(400, 512); root:head.bias=(400,)",400,official_google_drive,https://github.com/Sense-X/UniFormer,52a0415e4e0d,4829a6abe934a1c8083f377afea621f01d16bc4a93ce6ae74d7c5bea7eff6a7b,READY_EXACT,
dualformer-t,DualFormer-T,checkpoints/dualformer/dualformer_tiny_patch244_window877.pth,True,True,OrderedDict,"root:cls_head.fc_cls.weight=(400, 512); root:cls_head.fc_cls.bias=(400,); root:cls_head.token_linear.6.weight=(400, 2048); root:cls_head.token_linear.6.bias=(400,)",400,official_google_drive_1dvG6vjC7udHTwTaqmOAfn6U3HNs3T-QF,https://github.com/sail-sg/dualformer,058c10c6a078,f27c1c1996e4d27bc5c71f2bf3f690d933d8ea378030fb9e9e93c816872deb46,READY_EXACT,
video-focalnet-t,Video-FocalNet-T,checkpoints/focalnet/video-focalnet_tiny_kinetics400.pth,True,True,dict,"model:head.weight=(400, 768); model:head.bias=(400,)",400,official_google_drive,https://github.com/TalalWasim/Video-FocalNets,39eba998ebaf,86fb70adbd28e0fc8c9ca8c7ed36d52482a0c58507ad15820c8849bfb634b9ed,READY_EXACT,
videoswin-t,VideoSwin-T,checkpoints/videoswin/swin_tiny_patch244_window877_kinetics400_1k.pth,True,True,dict,"state_dict:cls_head.fc_cls.weight=(400, 768); state_dict:cls_head.fc_cls.bias=(400,)",400,https://github.com/SwinTransformer/storage/releases/download/v1.0.4/swin_tiny_patch244_window877_kinetics400_1k.pth,https://github.com/SwinTransformer/Video-Swin-Transformer,db018fb88962,9950e3be6b0b3763f80575dfbbe7db7cbeb18345e32363b73e8d44952ef76acc,READY_EXACT,
mvit-v1-b-16x4,"MViT-B, 16x4",checkpoints/mvit/MVIT_B_16x4.pyth,True,True,dict,"model_state:head.proj.weight=(400, 768); model_state:head.proj.bias=(400,); optimizer_state.state.139:exp_avg=(400, 768); optimizer_state.state.139:exp_avg_sq=(400, 768); optimizer_state.state.376:exp_avg=(400,); optimizer_state.state.376:exp_avg_sq=(400,)",400,https://dl.fbaipublicfiles.com/pytorchvideo/model_zoo/kinetics/MVIT_B_16x4.pyth,https://github.com/facebookresearch/SlowFast,287ec0076846,f2771e3919cd9339f4301f25476e91be26b2ebfdf11b633df2701e4867283007,READY_EXACT,
video-focalnet-s,Video-FocalNet-S,checkpoints/focalnet/video-focalnet_small_kinetics400.pth,True,True,dict,"model:head.weight=(400, 768); model:head.bias=(400,)",400,official_google_drive,https://github.com/TalalWasim/Video-FocalNets,39eba998ebaf,5031b6372b6a91b7a0be4762bc58c8d47318896a91a3f4fe0a9730d28cef4bd2,READY_EXACT,
mvit-v1-b-32x3,"MViT-B, 32x3",checkpoints/mvit/MVIT_B_32x3_f294077834.pyth,True,True,dict,"model_state:head.proj.weight=(400, 768); model_state:head.proj.bias=(400,); optimizer_state.state.139:exp_avg=(400, 768); optimizer_state.state.139:exp_avg_sq=(400, 768); optimizer_state.state.376:exp_avg=(400,); optimizer_state.state.376:exp_avg_sq=(400,)",400,https://dl.fbaipublicfiles.com/pytorchvideo/model_zoo/kinetics/MVIT_B_32x3_f294077834.pyth,https://github.com/facebookresearch/SlowFast,287ec0076846,ee62dd4c41f4cf0622a690c55bb3fea5c5685443cf0b4cb444327961047e5064,READY_EXACT,
dualformer-s,DualFormer-S,checkpoints/dualformer/dualformer_small_patch244_window877.pth,True,True,OrderedDict,"root:cls_head.fc_cls.weight=(400, 768); root:cls_head.fc_cls.bias=(400,); root:cls_head.token_linear.6.weight=(400, 3072); root:cls_head.token_linear.6.bias=(400,)",400,https://drive.google.com/file/d/1dNHPnSl39Vbh7Z-KSWYjNV3PGFlWL3TY/view,https://github.com/sail-sg/dualformer,058c10c6a078,1a377476e1244c86fdf0f2bb639ac88906e85ad328d951fc648567ce0ba17cce,READY_EXACT,
videoswin-s,VideoSwin-S,checkpoints/videoswin/swin_small_patch244_window877_kinetics400_1k.pth,True,True,dict,"state_dict:cls_head.fc_cls.weight=(400, 768); state_dict:cls_head.fc_cls.bias=(400,)",400,https://github.com/SwinTransformer/storage/releases/download/v1.0.4/swin_small_patch244_window877_kinetics400_1k.pth,https://github.com/SwinTransformer/Video-Swin-Transformer,db018fb88962,7e05aa13cfa1aa99fe78c1ccac96c263344b315fe5d98a165b77b1f7532ce500,READY_EXACT,
zeroi2v-b16-8f,"ZeroI2V ViT-B/16, 8f",checkpoints/ZeroI2V/CLIP-B_k400_8x16x1.pth,True,False,,,,official_project_model_zoo,https://github.com/MCG-NJU/ZeroI2V,f091983e3fed6d60158131c04479fcdd68c80990,f62f2e10aa0ae0cb755046f9d84b5ecffd58d4a5f1ae043ace88c3b27621929f,READY_NEEDS_CONFIG_VALIDATION,"safe open/config validation required: UnpicklingError: Weights only load failed. This file can still be loaded, to do so you have two options, [1mdo those steps only if you trust the source of the checkpoint[0m. 
	(1) In PyTorch 2.6, we changed the default value of the `weights_only` argument in `torch.load` from `False` to `True`. Re-running `torch.load` with `weights_only` set to `False` will likely succeed, but it can result in arbitrary code execution. Do it only if you got the file from a trusted source.
	(2) Alternatively, to load with `weights_only=True` please check the recommended steps in the following error message.
	WeightsUnpickler error: Unsupported global: GLOBAL mmengine.logging.history_buffer.HistoryBuffer was not an allowed global by default. Please use `torch.serialization.add_safe_globals([HistoryBuffer])` or the `torch.serialization.safe_globals([HistoryBuffer])` context manager to allowlist this global if you trust this class/function.

Check the documentation of torch.load to learn more about types accepted by default with weights_only https://pytorch.org/docs/stable/generated/torch.load.html."
