Device,Dataset,Split,AnnotationFile,InputProtocol,ClipCount,FramesUsed,ModelKey,Model,Top1Published(%),Top1Measured(%),MetricAccuracy(%),MetricAccuracySource,Params(M),GFLOPs,NetScore,NS-E(1/8),NS-M(1/8),NS#(1/8),Latency(ms),LatencyStd(ms),FPS,AvgPower(W),AvgPower(mW),PowerBackend,PowerSamples,TotalTime(s),Energy(J),TotalEnergy(J),PeakVRAM(MiB)
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,16,uniformer-b,UniFormer-B,82.0,92.0,92.0,measured,49.8132,387.0,33.7,68.66,72.28,62.39,163.6,10.8,6.11,55.12,55115.0,pynvml/NVML,5205,163.639,9.019,9018.96,324.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,16,uniformer-s,UniFormer-S,80.8,92.2,92.2,measured,21.4004,167.0,40.77,69.53,72.75,63.69,78.9,11.3,12.67,53.31,53309.0,pynvml/NVML,2526,78.916,4.207,4206.94,216.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,mvit-b-24-32x3,"MViT-B-24, 32x3",80.4,90.0,90.0,measured,53.11528,236.0,35.23,67.64,70.62,60.09,282.9,10.2,3.53,57.64,57642.0,pynvml/NVML,9011,282.888,16.306,16306.17,1050.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,mvit-v1-b,"MViT-B, 32x3",80.2,90.8,90.8,measured,36.61144,170.0,38.23,68.04,70.99,60.71,230.6,11.0,4.34,56.17,56169.0,pynvml/NVML,7346,230.638,12.955,12954.64,855.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,videoswin-t,VideoSwin-T,78.8,89.7,89.7,measured,28.15807,88.0,41.92,68.06,70.71,60.67,186.9,10.4,5.35,56.01,56012.0,pynvml/NVML,5953,186.935,10.471,10470.59,909.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,videoswin-s,VideoSwin-S,80.6,93.3,93.3,measured,49.816678,166.0,37.08,68.21,71.19,60.6,307.0,10.3,3.26,56.04,56036.0,pynvml/NVML,9751,307.016,17.204,17203.88,1106.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,videoswin-b,VideoSwin-B,80.6,91.7,91.7,measured,88.048984,282.0,32.3,67.52,70.51,59.53,436.2,12.2,2.29,56.28,56277.0,pynvml/NVML,13853,436.18,24.547,24546.78,1564.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,timesformer-b,TimeSformer-B,78.0,92.7,92.7,measured,121.566352,196.0,31.91,68.75,71.35,61.41,170.0,12.6,5.88,55.53,55534.0,pynvml/NVML,5416,169.976,9.439,9439.4,856.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,8,video-focalnet-t,Video-FocalNet-T,79.8,95.9,95.9,measured,49.553272,63.0,41.14,70.06,71.95,62.74,89.5,11.4,11.17,54.03,54031.0,pynvml/NVML,2861,89.548,4.838,4838.36,847.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,8,video-focalnet-s,Video-FocalNet-S,81.4,80.7,80.7,measured,88.735168,124.0,36.01,66.44,68.63,58.8,155.3,11.2,6.44,55.16,55164.0,pynvml/NVML,4941,155.31,8.567,8567.47,1138.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,8,video-focalnet-b,Video-FocalNet-B,83.6,88.6,88.6,measured,157.389216,149.0,33.19,67.61,69.91,59.62,233.3,11.3,4.29,56.1,56096.0,pynvml/NVML,7414,233.31,13.088,13087.76,1561.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,dualformer-t,DualFormer-T,79.5,89.9,89.9,measured,21.97256,240.0,38.79,68.53,70.87,61.24,128.7,10.5,7.77,54.93,54926.0,pynvml/NVML,4102,128.663,7.067,7066.97,819.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,omnivore-b,Omnivore-B (IN21K),84.0,89.8,89.8,measured,90.114643,282.0,32.92,66.76,69.66,58.29,605.4,13.0,1.65,58.46,58464.0,pynvml/NVML,19359,605.422,35.395,35395.4,2442.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,videomae-b,VideoMAE-B,80.9,91.3,91.3,measured,86.544016,180.0,34.39,68.51,71.65,61.74,165.0,10.1,6.06,55.86,55861.0,pynvml/NVML,5322,164.952,9.214,9214.37,511.0
RTX_3050_Laptop,k400,local_folder_1000_seed0,,single uniformly sampled full-video view,1000,32,vtn-b,VTN-B (32-frame view),77.72,92.0,92.0,measured,113.502352,539.904,27.75,67.49,71.71,60.64,461.1,2.6,2.17,57.62,57619.0,pynvml/NVML,14721,461.112,26.569,26568.8,547.0
