Model,Top1Published(%),Top1Measured(%),Latency(ms),AvgPower(W),Energy(J),PeakVRAM(MiB),NS-M(1/8)
UniFormer-S,80.8,92.2,78.9,53.31,4.207,216.0,72.75
UniFormer-B,82.0,92.0,163.6,55.12,9.019,324.0,72.28
Video-FocalNet-T,79.8,95.9,89.5,54.03,4.838,847.0,71.95
VTN-B (32-frame view),77.72,92.0,461.1,57.62,26.569,547.0,71.71
VideoMAE-B,80.9,91.3,165.0,55.86,9.214,511.0,71.65
TimeSformer-B,78.0,92.7,170.0,55.53,9.439,856.0,71.35
VideoSwin-S,80.6,93.3,307.0,56.04,17.204,1106.0,71.19
"MViT-B, 32x3",80.2,90.8,230.6,56.17,12.955,855.0,70.99
DualFormer-T,79.5,89.9,128.7,54.93,7.067,819.0,70.87
VideoSwin-T,78.8,89.7,186.9,56.01,10.471,909.0,70.71
"MViT-B-24, 32x3",80.4,90.0,282.9,57.64,16.306,1050.0,70.62
VideoSwin-B,80.6,91.7,436.2,56.28,24.547,1564.0,70.51
Video-FocalNet-B,83.6,88.6,233.3,56.1,13.088,1561.0,69.91
Omnivore-B (IN21K),84.0,89.8,605.4,58.46,35.395,2442.0,69.66
Video-FocalNet-S,81.4,80.7,155.3,55.16,8.567,1138.0,68.63
